,evaluations,method,classifier,dataset,performance
0,6,Wrapper_NSGA2,RandomForestClassifier,0,0.937
1,8,Wrapper_NSGA2,RandomForestClassifier,0,0.937
2,9,Wrapper_NSGA2,RandomForestClassifier,0,0.953
3,11,Wrapper_NSGA2,RandomForestClassifier,0,0.953
4,12,Wrapper_NSGA2,RandomForestClassifier,0,0.953
5,12,Wrapper_NSGA2,RandomForestClassifier,0,0.953
6,14,Wrapper_NSGA2,RandomForestClassifier,0,0.953
7,16,Wrapper_NSGA2,RandomForestClassifier,0,0.958
8,18,Wrapper_NSGA2,RandomForestClassifier,0,0.958
9,21,Wrapper_NSGA2,RandomForestClassifier,0,0.958
10,23,Wrapper_NSGA2,RandomForestClassifier,0,0.958
11,25,Wrapper_NSGA2,RandomForestClassifier,0,0.958
12,26,Wrapper_NSGA2,RandomForestClassifier,0,0.958
13,29,Wrapper_NSGA2,RandomForestClassifier,0,0.958
14,33,Wrapper_NSGA2,RandomForestClassifier,0,0.958
15,33,Wrapper_NSGA2,RandomForestClassifier,0,0.958
16,35,Wrapper_NSGA2,RandomForestClassifier,0,0.958
17,38,Wrapper_NSGA2,RandomForestClassifier,0,0.958
18,39,Wrapper_NSGA2,RandomForestClassifier,0,0.96
19,39,Wrapper_NSGA2,RandomForestClassifier,0,0.96
20,41,Wrapper_NSGA2,RandomForestClassifier,0,0.96
21,44,Wrapper_NSGA2,RandomForestClassifier,0,0.96
22,45,Wrapper_NSGA2,RandomForestClassifier,0,0.96
23,48,Wrapper_NSGA2,RandomForestClassifier,0,0.96
24,48,Wrapper_NSGA2,RandomForestClassifier,0,0.96
25,50,Wrapper_NSGA2,RandomForestClassifier,0,0.96
26,51,Wrapper_NSGA2,RandomForestClassifier,0,0.96
27,52,Wrapper_NSGA2,RandomForestClassifier,0,0.96
28,52,Wrapper_NSGA2,RandomForestClassifier,0,0.96
29,57,Wrapper_NSGA2,RandomForestClassifier,0,0.96
30,57,Wrapper_NSGA2,RandomForestClassifier,0,0.96
31,60,Wrapper_NSGA2,RandomForestClassifier,0,0.96
32,60,Wrapper_NSGA2,RandomForestClassifier,0,0.96
33,60,Wrapper_NSGA2,RandomForestClassifier,0,0.96
34,62,Wrapper_NSGA2,RandomForestClassifier,0,0.96
35,64,Wrapper_NSGA2,RandomForestClassifier,0,0.96
36,65,Wrapper_NSGA2,RandomForestClassifier,0,0.96
37,68,Wrapper_NSGA2,RandomForestClassifier,0,0.96
38,68,Wrapper_NSGA2,RandomForestClassifier,0,0.96
39,68,Wrapper_NSGA2,RandomForestClassifier,0,0.96
40,69,Wrapper_NSGA2,RandomForestClassifier,0,0.96
41,70,Wrapper_NSGA2,RandomForestClassifier,0,0.96
42,73,Wrapper_NSGA2,RandomForestClassifier,0,0.96
43,74,Wrapper_NSGA2,RandomForestClassifier,0,0.96
44,74,Wrapper_NSGA2,RandomForestClassifier,0,0.96
45,74,Wrapper_NSGA2,RandomForestClassifier,0,0.96
46,74,Wrapper_NSGA2,RandomForestClassifier,0,0.96
47,77,Wrapper_NSGA2,RandomForestClassifier,0,0.96
48,79,Wrapper_NSGA2,RandomForestClassifier,0,0.96
49,81,Wrapper_NSGA2,RandomForestClassifier,0,0.96
50,83,Wrapper_NSGA2,RandomForestClassifier,0,0.96
51,85,Wrapper_NSGA2,RandomForestClassifier,0,0.96
52,87,Wrapper_NSGA2,RandomForestClassifier,0,0.96
53,90,Wrapper_NSGA2,RandomForestClassifier,0,0.96
54,90,Wrapper_NSGA2,RandomForestClassifier,0,0.96
55,93,Wrapper_NSGA2,RandomForestClassifier,0,0.96
56,96,Wrapper_NSGA2,RandomForestClassifier,0,0.962
57,99,Wrapper_NSGA2,RandomForestClassifier,0,0.962
58,102,Wrapper_NSGA2,RandomForestClassifier,0,0.962
59,104,Wrapper_NSGA2,RandomForestClassifier,0,0.962
60,106,Wrapper_NSGA2,RandomForestClassifier,0,0.962
61,108,Wrapper_NSGA2,RandomForestClassifier,0,0.962
62,108,Wrapper_NSGA2,RandomForestClassifier,0,0.962
63,108,Wrapper_NSGA2,RandomForestClassifier,0,0.962
64,108,Wrapper_NSGA2,RandomForestClassifier,0,0.962
65,110,Wrapper_NSGA2,RandomForestClassifier,0,0.962
66,113,Wrapper_NSGA2,RandomForestClassifier,0,0.962
67,113,Wrapper_NSGA2,RandomForestClassifier,0,0.962
68,114,Wrapper_NSGA2,RandomForestClassifier,0,0.962
69,117,Wrapper_NSGA2,RandomForestClassifier,0,0.962
70,118,Wrapper_NSGA2,RandomForestClassifier,0,0.962
71,119,Wrapper_NSGA2,RandomForestClassifier,0,0.962
72,121,Wrapper_NSGA2,RandomForestClassifier,0,0.962
73,123,Wrapper_NSGA2,RandomForestClassifier,0,0.962
74,125,Wrapper_NSGA2,RandomForestClassifier,0,0.962
75,127,Wrapper_NSGA2,RandomForestClassifier,0,0.962
76,130,Wrapper_NSGA2,RandomForestClassifier,0,0.962
77,134,Wrapper_NSGA2,RandomForestClassifier,0,0.962
78,134,Wrapper_NSGA2,RandomForestClassifier,0,0.962
79,134,Wrapper_NSGA2,RandomForestClassifier,0,0.962
80,139,Wrapper_NSGA2,RandomForestClassifier,0,0.962
81,140,Wrapper_NSGA2,RandomForestClassifier,0,0.962
82,143,Wrapper_NSGA2,RandomForestClassifier,0,0.962
83,144,Wrapper_NSGA2,RandomForestClassifier,0,0.962
84,147,Wrapper_NSGA2,RandomForestClassifier,0,0.962
85,149,Wrapper_NSGA2,RandomForestClassifier,0,0.965
86,150,Wrapper_NSGA2,RandomForestClassifier,0,0.965
87,150,Wrapper_NSGA2,RandomForestClassifier,0,0.965
88,150,Wrapper_NSGA2,RandomForestClassifier,0,0.965
89,151,Wrapper_NSGA2,RandomForestClassifier,0,0.965
90,152,Wrapper_NSGA2,RandomForestClassifier,0,0.965
91,153,Wrapper_NSGA2,RandomForestClassifier,0,0.965
92,156,Wrapper_NSGA2,RandomForestClassifier,0,0.965
