,evaluations,method,classifier,dataset,performance
0,7,Wrapper_NSGA2,ABCMeta,0,0.9319999999999999
1,11,Wrapper_NSGA2,ABCMeta,0,0.9319999999999999
2,15,Wrapper_NSGA2,ABCMeta,0,0.9319999999999999
3,18,Wrapper_NSGA2,ABCMeta,0,0.9319999999999999
4,20,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
5,22,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
6,22,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
7,26,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
8,28,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
9,31,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
10,32,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
11,33,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
12,36,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
13,40,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
14,42,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
15,44,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
16,47,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
17,51,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
18,53,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
19,57,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
20,62,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
21,64,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
22,66,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
23,67,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
24,69,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
25,71,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
26,71,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
27,74,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
28,74,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
29,75,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
30,78,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
31,80,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
32,81,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
33,82,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
34,83,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
35,85,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
36,87,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
37,87,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
38,90,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
39,92,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
40,93,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
41,94,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
42,96,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
43,96,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
44,96,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
45,98,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
46,100,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
47,103,Wrapper_NSGA2,ABCMeta,0,0.9359999999999999
48,105,Wrapper_NSGA2,ABCMeta,0,0.938
49,106,Wrapper_NSGA2,ABCMeta,0,0.938
50,107,Wrapper_NSGA2,ABCMeta,0,0.938
51,107,Wrapper_NSGA2,ABCMeta,0,0.938
52,110,Wrapper_NSGA2,ABCMeta,0,0.938
53,112,Wrapper_NSGA2,ABCMeta,0,0.938
54,114,Wrapper_NSGA2,ABCMeta,0,0.938
55,114,Wrapper_NSGA2,ABCMeta,0,0.938
56,116,Wrapper_NSGA2,ABCMeta,0,0.938
57,117,Wrapper_NSGA2,ABCMeta,0,0.938
58,119,Wrapper_NSGA2,ABCMeta,0,0.938
59,121,Wrapper_NSGA2,ABCMeta,0,0.938
60,121,Wrapper_NSGA2,ABCMeta,0,0.938
61,122,Wrapper_NSGA2,ABCMeta,0,0.938
62,124,Wrapper_NSGA2,ABCMeta,0,0.938
63,124,Wrapper_NSGA2,ABCMeta,0,0.938
64,125,Wrapper_NSGA2,ABCMeta,0,0.938
65,125,Wrapper_NSGA2,ABCMeta,0,0.938
66,127,Wrapper_NSGA2,ABCMeta,0,0.938
67,130,Wrapper_NSGA2,ABCMeta,0,0.938
68,130,Wrapper_NSGA2,ABCMeta,0,0.938
69,131,Wrapper_NSGA2,ABCMeta,0,0.938
70,132,Wrapper_NSGA2,ABCMeta,0,0.938
71,132,Wrapper_NSGA2,ABCMeta,0,0.938
72,132,Wrapper_NSGA2,ABCMeta,0,0.938
73,135,Wrapper_NSGA2,ABCMeta,0,0.938
74,136,Wrapper_NSGA2,ABCMeta,0,0.938
75,138,Wrapper_NSGA2,ABCMeta,0,0.938
76,140,Wrapper_NSGA2,ABCMeta,0,0.938
77,140,Wrapper_NSGA2,ABCMeta,0,0.938
78,141,Wrapper_NSGA2,ABCMeta,0,0.938
79,142,Wrapper_NSGA2,ABCMeta,0,0.938
80,142,Wrapper_NSGA2,ABCMeta,0,0.938
81,143,Wrapper_NSGA2,ABCMeta,0,0.938
82,146,Wrapper_NSGA2,ABCMeta,0,0.938
83,149,Wrapper_NSGA2,ABCMeta,0,0.938
84,149,Wrapper_NSGA2,ABCMeta,0,0.938
85,149,Wrapper_NSGA2,ABCMeta,0,0.938
86,151,Wrapper_NSGA2,ABCMeta,0,0.938
87,151,Wrapper_NSGA2,ABCMeta,0,0.938
88,153,Wrapper_NSGA2,ABCMeta,0,0.938
89,155,Wrapper_NSGA2,ABCMeta,0,0.938
90,156,Wrapper_NSGA2,ABCMeta,0,0.938
91,158,Wrapper_NSGA2,ABCMeta,0,0.938
92,160,Wrapper_NSGA2,ABCMeta,0,0.938
93,160,Wrapper_NSGA2,ABCMeta,0,0.938
94,164,Wrapper_NSGA2,ABCMeta,0,0.938
95,165,Wrapper_NSGA2,ABCMeta,0,0.938
96,165,Wrapper_NSGA2,ABCMeta,0,0.938
97,167,Wrapper_NSGA2,ABCMeta,0,0.938
98,168,Wrapper_NSGA2,ABCMeta,0,0.938
99,169,Wrapper_NSGA2,ABCMeta,0,0.938
100,1,Wrapper_Model,ABCMeta,0,0.846
101,2,Wrapper_Model,ABCMeta,0,0.846
102,3,Wrapper_Model,ABCMeta,0,0.846
103,4,Wrapper_Model,ABCMeta,0,0.846
104,5,Wrapper_Model,ABCMeta,0,0.8460000000000001
105,6,Wrapper_Model,ABCMeta,0,0.8460000000000001
106,7,Wrapper_Model,ABCMeta,0,0.8460000000000001
107,8,Wrapper_Model,ABCMeta,0,0.8460000000000001
108,9,Wrapper_Model,ABCMeta,0,0.8460000000000001
109,10,Wrapper_Model,ABCMeta,0,0.8460000000000001
110,11,Wrapper_Model,ABCMeta,0,0.8460000000000001
111,12,Wrapper_Model,ABCMeta,0,0.8460000000000001
112,13,Wrapper_Model,ABCMeta,0,0.8460000000000001
113,14,Wrapper_Model,ABCMeta,0,0.8460000000000001
114,15,Wrapper_Model,ABCMeta,0,0.85
115,16,Wrapper_Model,ABCMeta,0,0.85
116,17,Wrapper_Model,ABCMeta,0,0.85
117,18,Wrapper_Model,ABCMeta,0,0.872
