,evaluations,method,classifier,dataset,performance
0,7,Wrapper_NSGA2,ABCMeta,0,0.906
1,7,Wrapper_NSGA2,ABCMeta,0,0.906
2,7,Wrapper_NSGA2,ABCMeta,0,0.906
3,7,Wrapper_NSGA2,ABCMeta,0,0.906
4,7,Wrapper_NSGA2,ABCMeta,0,0.906
5,8,Wrapper_NSGA2,ABCMeta,0,0.906
6,8,Wrapper_NSGA2,ABCMeta,0,0.906
7,12,Wrapper_NSGA2,ABCMeta,0,0.906
8,12,Wrapper_NSGA2,ABCMeta,0,0.906
9,15,Wrapper_NSGA2,ABCMeta,0,0.906
10,17,Wrapper_NSGA2,ABCMeta,0,0.9095
11,18,Wrapper_NSGA2,ABCMeta,0,0.9095
12,20,Wrapper_NSGA2,ABCMeta,0,0.9095
13,20,Wrapper_NSGA2,ABCMeta,0,0.9095
14,20,Wrapper_NSGA2,ABCMeta,0,0.9095
15,21,Wrapper_NSGA2,ABCMeta,0,0.9095
16,22,Wrapper_NSGA2,ABCMeta,0,0.9095
17,22,Wrapper_NSGA2,ABCMeta,0,0.9095
18,23,Wrapper_NSGA2,ABCMeta,0,0.9095
19,25,Wrapper_NSGA2,ABCMeta,0,0.9095
20,25,Wrapper_NSGA2,ABCMeta,0,0.9095
21,25,Wrapper_NSGA2,ABCMeta,0,0.9095
22,26,Wrapper_NSGA2,ABCMeta,0,0.9095
23,27,Wrapper_NSGA2,ABCMeta,0,0.9095
24,27,Wrapper_NSGA2,ABCMeta,0,0.9095
25,27,Wrapper_NSGA2,ABCMeta,0,0.9095
26,28,Wrapper_NSGA2,ABCMeta,0,0.9095
27,29,Wrapper_NSGA2,ABCMeta,0,0.9095
28,30,Wrapper_NSGA2,ABCMeta,0,0.9095
29,31,Wrapper_NSGA2,ABCMeta,0,0.9245000000000001
30,33,Wrapper_NSGA2,ABCMeta,0,0.9245000000000001
31,35,Wrapper_NSGA2,ABCMeta,0,0.9259999999999999
32,35,Wrapper_NSGA2,ABCMeta,0,0.9259999999999999
33,37,Wrapper_NSGA2,ABCMeta,0,0.9259999999999999
34,39,Wrapper_NSGA2,ABCMeta,0,0.9259999999999999
35,41,Wrapper_NSGA2,ABCMeta,0,0.9345
36,41,Wrapper_NSGA2,ABCMeta,0,0.9345
37,44,Wrapper_NSGA2,ABCMeta,0,0.9345
38,44,Wrapper_NSGA2,ABCMeta,0,0.9345
39,44,Wrapper_NSGA2,ABCMeta,0,0.9345
40,45,Wrapper_NSGA2,ABCMeta,0,0.9345
41,47,Wrapper_NSGA2,ABCMeta,0,0.9345
42,48,Wrapper_NSGA2,ABCMeta,0,0.9345
43,48,Wrapper_NSGA2,ABCMeta,0,0.9345
44,48,Wrapper_NSGA2,ABCMeta,0,0.9345
45,51,Wrapper_NSGA2,ABCMeta,0,0.9345
46,53,Wrapper_NSGA2,ABCMeta,0,0.9345
47,53,Wrapper_NSGA2,ABCMeta,0,0.9345
48,53,Wrapper_NSGA2,ABCMeta,0,0.9345
49,58,Wrapper_NSGA2,ABCMeta,0,0.9345
50,59,Wrapper_NSGA2,ABCMeta,0,0.9345
51,59,Wrapper_NSGA2,ABCMeta,0,0.9345
52,61,Wrapper_NSGA2,ABCMeta,0,0.9345
53,62,Wrapper_NSGA2,ABCMeta,0,0.9345
54,62,Wrapper_NSGA2,ABCMeta,0,0.9345
55,62,Wrapper_NSGA2,ABCMeta,0,0.9345
56,62,Wrapper_NSGA2,ABCMeta,0,0.9345
57,62,Wrapper_NSGA2,ABCMeta,0,0.9345
58,62,Wrapper_NSGA2,ABCMeta,0,0.9345
59,63,Wrapper_NSGA2,ABCMeta,0,0.9345
60,64,Wrapper_NSGA2,ABCMeta,0,0.9345
61,65,Wrapper_NSGA2,ABCMeta,0,0.9345
62,65,Wrapper_NSGA2,ABCMeta,0,0.9345
63,66,Wrapper_NSGA2,ABCMeta,0,0.9345
64,68,Wrapper_NSGA2,ABCMeta,0,0.9345
65,70,Wrapper_NSGA2,ABCMeta,0,0.9345
66,71,Wrapper_NSGA2,ABCMeta,0,0.9345
67,72,Wrapper_NSGA2,ABCMeta,0,0.9345
68,73,Wrapper_NSGA2,ABCMeta,0,0.9345
69,73,Wrapper_NSGA2,ABCMeta,0,0.9345
70,73,Wrapper_NSGA2,ABCMeta,0,0.9345
71,74,Wrapper_NSGA2,ABCMeta,0,0.9345
72,75,Wrapper_NSGA2,ABCMeta,0,0.9345
73,75,Wrapper_NSGA2,ABCMeta,0,0.9345
74,77,Wrapper_NSGA2,ABCMeta,0,0.9345
75,77,Wrapper_NSGA2,ABCMeta,0,0.9345
76,77,Wrapper_NSGA2,ABCMeta,0,0.9345
77,79,Wrapper_NSGA2,ABCMeta,0,0.9345
78,79,Wrapper_NSGA2,ABCMeta,0,0.9345
79,80,Wrapper_NSGA2,ABCMeta,0,0.9345
80,81,Wrapper_NSGA2,ABCMeta,0,0.9345
81,84,Wrapper_NSGA2,ABCMeta,0,0.9345
82,84,Wrapper_NSGA2,ABCMeta,0,0.9345
83,85,Wrapper_NSGA2,ABCMeta,0,0.9345
84,86,Wrapper_NSGA2,ABCMeta,0,0.9345
85,86,Wrapper_NSGA2,ABCMeta,0,0.9345
86,86,Wrapper_NSGA2,ABCMeta,0,0.9345
87,88,Wrapper_NSGA2,ABCMeta,0,0.9345
88,91,Wrapper_NSGA2,ABCMeta,0,0.9345
89,93,Wrapper_NSGA2,ABCMeta,0,0.9345
90,95,Wrapper_NSGA2,ABCMeta,0,0.9345
91,97,Wrapper_NSGA2,ABCMeta,0,0.9345
92,99,Wrapper_NSGA2,ABCMeta,0,0.9345
93,101,Wrapper_NSGA2,ABCMeta,0,0.9345
94,101,Wrapper_NSGA2,ABCMeta,0,0.9345
95,101,Wrapper_NSGA2,ABCMeta,0,0.9345
96,101,Wrapper_NSGA2,ABCMeta,0,0.9345
97,102,Wrapper_NSGA2,ABCMeta,0,0.9345
98,103,Wrapper_NSGA2,ABCMeta,0,0.9345
99,104,Wrapper_NSGA2,ABCMeta,0,0.9345
100,1,Wrapper_Model,ABCMeta,0,0.8175
101,2,Wrapper_Model,ABCMeta,0,0.8175
102,3,Wrapper_Model,ABCMeta,0,0.8175
103,4,Wrapper_Model,ABCMeta,0,0.8175
104,5,Wrapper_Model,ABCMeta,0,0.8175
105,6,Wrapper_Model,ABCMeta,0,0.8175
106,7,Wrapper_Model,ABCMeta,0,0.8175
107,8,Wrapper_Model,ABCMeta,0,0.8175
108,9,Wrapper_Model,ABCMeta,0,0.8175
109,10,Wrapper_Model,ABCMeta,0,0.847
110,11,Wrapper_Model,ABCMeta,0,0.847
111,12,Wrapper_Model,ABCMeta,0,0.847
112,13,Wrapper_Model,ABCMeta,0,0.847
113,14,Wrapper_Model,ABCMeta,0,0.847
114,15,Wrapper_Model,ABCMeta,0,0.847
115,16,Wrapper_Model,ABCMeta,0,0.847
116,17,Wrapper_Model,ABCMeta,0,0.847
117,18,Wrapper_Model,ABCMeta,0,0.847
118,19,Wrapper_Model,ABCMeta,0,0.847
119,20,Wrapper_Model,ABCMeta,0,0.847
120,21,Wrapper_Model,ABCMeta,0,0.847
121,22,Wrapper_Model,ABCMeta,0,0.847
122,23,Wrapper_Model,ABCMeta,0,0.847
123,24,Wrapper_Model,ABCMeta,0,0.847
124,25,Wrapper_Model,ABCMeta,0,0.9065000000000001
125,26,Wrapper_Model,ABCMeta,0,0.908
126,27,Wrapper_Model,ABCMeta,0,0.908
127,28,Wrapper_Model,ABCMeta,0,0.908
128,29,Wrapper_Model,ABCMeta,0,0.908
